tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,label,computed,refLabel,defaultValue
Subpopulations,,access rights,ontology,,,CatalogueOntologies,Access rights,,,,dcterms:accessRights,"Information that indicates whether the resource is publicly accessible, has access restrictions or is not public. A default is set for non-public access, because most health datasets contain sensitive information and rules and licenses apply to get access","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,= {name: 'Non public'}
Subpopulations,,applicable legislation,ontology_array,,,CatalogueOntologies,Legislations,,,,dcatap:applicableLegislation,"The legislation that mandates the creation or management of the subpopulation. For health datasets, the value must include the data governance act, which is set as a default. URI's to other legislations may be included","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,= [{name: 'Data Governance Act'}]
Variable mappings,,,,,,,,,,,,"Mappings from collected or source variables to target or harmonised variables, optionally including ETL syntax","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,source,ref,1,TRUE,,Resources,,,,,Id of the resource that contains the source variable(s),"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,source dataset,ref,1,TRUE,,Datasets,source,,,,Name of the dataset that contains the source variable(s),"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,source variables,ref_array,,,,Variables,source dataset,,,,"Optional, source variable that was mapped from. You may also indicate that a mapping to a target variable was not done and leave this field empty (match = not available)","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,source variables other datasets,ref_array,,,,Variables,source,,,,"Optional, variables from other source datasets. Initially one may only define mapping between releases","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,target,ref,1,TRUE,UMCG,Resources,,,,,Id of the resource that contains the target variable,UMCGCohortsStaging,,,,,
Variable mappings,,target dataset,ref,1,TRUE,UMCG,Datasets,target,,,,Name of the dataset that contains the target variable,UMCGCohortsStaging,,,,,
Variable mappings,,target variable,ref,1,TRUE,UMCG,Variables,target dataset,,,,Target variable that was mapped to,UMCGCohortsStaging,,,,,
Variable mappings,,repeats,text,1,TRUE,,,,,"if(!/^(([0-9]+)((, ?[0-9]+)*)|(NA))$/.test(repeats))'Repeats take the format 1,2,3 or 1, 2, 3 or NA'",,"In case of mapping to a repeated variable, specify which repeats were mapped to","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,NA
Variable mappings,,match,ontology,,TRUE,CatalogueOntologies,Status details,,,,,"Harmonisation match, i.e., complete, partial, na","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,description,text,,,,,,,,,Human readible description of the mapping,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,syntax,text,,,,,,,,,"Formal definition of the mapping, ideally in executable code","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variable mappings,,comments,text,,,,,,,,,Additional notes or comments,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Agents,,,,,,,,,,,"foaf:Agent,org:Organization","An organisation, department or individual","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Agents,,resource,ref,1,TRUE,,Resources,,,,,Resource this Agent is associated with,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Agents,,id,,1,TRUE,,,,,,,"Internal identifier. Ideally fill out acronym for an organisation (e.g. UMCG) and full name for a person (e.g. Ada Lovelace)""","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Agents,,type,ontology,,TRUE,CatalogueOntologies,Agent types,,,,,Type of agent: person or organisation,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,=mg_tableclass.includes('Organisations')? {name: 'Organisation'} : undefined
Agents,,name,,,,,,,,,,Name of the individual,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",type?.name === 'Individual',,,,
Agents,,organisation,ref,,,CatalogueOntologies,Organisations,,,,,Organisation name from Research Organization Registry (ROR).,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",type?.name === 'Organisation',,,,
Agents,,other organisation,text,,,,,,,,,"If your organisation is not listed, please look up in ROR: https://ror.org/ and preferably provide ROR id, otherwise fill out your organisation name.","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",type?.name === 'Organisation',,,,
Agents,,department,,,,,,,,,,Name of department within the organisation,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",type?.name === 'Organisation',,,,
Agents,,website,hyperlink,,,,,,,,foaf:homepage,A website representing this Agent,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",type?.name === 'Individual',,,,
Agents,,email,email,,if(resource?.hricore === true) 'This field is mandatory for HRICore compatibility',,,,,,foaf:mbox,E-mail address to contact this organisation or individual,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Agents,,logo,file,,,,,,,,foaf:logo,Logo of the organisation,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,INTEGRATE,FAIR Genomes",type?.name === 'Organisation',,,,
Agents,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,Type(s) of contribution or role in the resource,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",type?.name === 'Organisation',,,,
Variables,,,,,,,,,,,,Definition of a variable,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Variables,,resource,ref,1,TRUE,,Resources,,,,,Resource that this variable is part of,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging,NetworksStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
